SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
58.89,0.67,17.28,6.46,0.09,4.49,6.07,6.07,0,0,6.97,15.1,2.13,9.43,2.45,0.72,2.54,0.42,2.73,0.56,1.52,0.23,1.49,0.23,529,14.3,6.93,57.7,1.98,3.02,0.2,1.24,0.4,9.02,68.5,19,155,56,236,6.07,0.487412587,0.211188811,3.036842105,2.026845638,36.99300699,3.355421516,10.13422819,4.79020979,2.844897959,1.832214765,1.644295302,27.95918367,0.013100189,6.32885906,0.116161616,1.055944056,0.659440559,0.832214765,1.704697987,0.372258065,1,0.086713287,2.947368421,12.42105263,0.361290323,1.522580645,35.21253642,116,1,32.276649,82.545867
59,0.77,16.49,6.89,0.13,4.57,7.09,4.05,1.01,0,10.2,21.7,2.97,12.8,3.23,1,3.5,0.56,3.58,0.75,2.11,0.31,2.03,0.31,531,20,27.6,418,2.65,4.04,0.29,1.96,0.62,5.4,101,21,171,28,108,5.06,0.51,0.202,19.9047619,1.990147783,26.55,3.604165368,10.68965517,5.05,3.157894737,1.763546798,1.591133005,31.26934985,0.051977401,6.305418719,0.116981132,1.085,0.64,0.965517241,1.724137931,2.444444444,0.714285714,0.098,1.333333333,5.142857143,0.16374269,0.631578947,32.27774454,125,2,32.327223,82.561086
58.73,0.79,16.68,7.04,0.12,4.23,6.18,4.64,1.42,0.18,10.3,21.9,3,13.1,3.31,0.97,3.41,0.58,3.74,0.76,2.22,0.34,2.11,0.33,452,20.6,30.9,413,2.84,3.37,0.25,2.26,0.62,6.33,107,20.6,159,19.2,68.4,6.06,0.5,0.163592233,20.04854369,1.597156398,21.94174757,3.501509789,10.37914692,5.194174757,3.111782477,1.772511848,1.568720379,32.32628399,0.068362832,6.208530806,0.116197183,1.063106796,0.63592233,1.071090047,1.616113744,2.597484277,0.980424144,0.109708738,0.932038835,3.32038835,0.120754717,0.430188679,31.26421063,125,2,32.47785,82.595585
59.11,0.67,16.48,6.58,0.12,5.16,6.11,4.35,1.27,0.14,7.6,16.8,2.36,10.5,2.85,0.84,2.96,0.51,3.4,0.69,2.01,0.29,2.01,0.29,492,18.2,28,353,2.47,2.93,0.21,1.55,0.49,5.5,88.4,21.7,159,33.7,140,5.62,0.417582418,0.160989011,16.26728111,1.457711443,27.03296703,2.712177509,8.358208955,4.857142857,2.666666667,1.691542289,1.417910448,31.01754386,0.056910569,5.223880597,0.117408907,0.923076923,0.576923077,0.771144279,1.472636816,2.220125786,0.919275124,0.085164835,1.552995392,6.451612903,0.211949686,0.880503145,32.90872307,128,1,32.312717,82.558518
59.19,0.79,15.6,7.45,0.1,3.57,6.83,4.87,1.43,0.18,8.88,19.1,2.65,11.8,3.09,0.94,3.32,0.56,3.69,0.75,2.18,0.32,2.26,0.32,499,19.9,26.6,497,2.51,3.42,0.24,1.86,0.55,5.08,91.8,24.2,159,25,103,6.3,0.446231156,0.171859296,20.53719008,1.513274336,25.07537688,2.818416041,8.451327434,4.613065327,2.873786408,1.632743363,1.367256637,29.70873786,0.053306613,5.221238938,0.12749004,0.959798995,0.592964824,0.82300885,1.469026549,3.125786164,0.923190547,0.093467337,1.033057851,4.256198347,0.157232704,0.647798742,29.64802874,125,2,32.327223,82.561086
59.46,0.61,17.45,5.76,0.13,4.32,6.65,4.28,1.21,0.12,7.93,17.2,2.39,10.4,2.62,0.87,2.8,0.47,2.93,0.64,1.75,0.28,1.69,0.25,424,16.2,23.1,417,2.42,2.78,0.2,1.66,0.47,4.55,88.1,17.4,134,34.2,120,5.49,0.489506173,0.171604938,23.96551724,1.644970414,26.17283951,3.365790328,10.17751479,5.438271605,3.026717557,1.733727811,1.550295858,33.6259542,0.054481132,6.153846154,0.103305785,1.061728395,0.641975309,0.982248521,1.656804734,3.111940299,0.824508321,0.102469136,1.965517241,6.896551724,0.255223881,0.895522388,35.3732141,130,1,32.28946,82.552646
60.08,0.72,17.1,6.12,0.09,4.49,5.9,3.67,1.64,0.18,11.2,24.7,3.33,14.2,3.46,1.02,3.56,0.58,3.71,0.78,2.28,0.34,2.27,0.34,495,20.6,52.6,396,3.09,3.92,0.29,2.62,0.7,5.44,117,17.4,200,17.5,61.2,5.32,0.54368932,0.190291262,22.75862069,1.726872247,24.02912621,3.53909924,10.88105727,5.67961165,3.23699422,1.634361233,1.524229075,33.8150289,0.106262626,6.255506608,0.110032362,1.199029126,0.689320388,1.154185022,1.568281938,1.98,0.901023891,0.127184466,1.005747126,3.517241379,0.0875,0.306,32.3632207,125,2,32.28946,82.552646
60.93,0.71,16.09,6.48,0.11,4.76,5.49,3.95,1.34,0.14,8.44,18.4,2.52,11.2,2.94,0.89,3.08,0.51,3.24,0.7,1.95,0.3,1.95,0.3,421,18.2,29.2,355,2.68,3.03,0.22,1.78,0.52,5.69,97.9,21.5,156,44,191,5.29,0.463736264,0.166483516,16.51162791,1.553846154,23.13186813,3.104619712,9.435897436,5.379120879,2.870748299,1.661538462,1.507692308,33.29931973,0.06935867,5.743589744,0.111940299,1.010989011,0.615384615,0.912820513,1.579487179,2.275641026,0.963302752,0.097802198,2.046511628,8.88372093,0.282051282,1.224358974,34.69759959,122,1,32.312717,82.558518
57.79,0.82,19.2,5.93,0.11,2.28,6.2,3.75,3.45,0.46,31,62.6,7.7,30.2,6.15,1.59,5.44,0.84,4.97,1,2.87,0.41,2.74,0.42,674,27.1,69.4,834,5.45,22.5,1.5,7.74,1.9,11,214,12.4,109,118,11,7.21,1.143911439,0.830258303,67.25806452,8.211678832,24.87084871,8.115433182,22.84671533,7.896678967,5.040650407,1.813868613,2.244525547,34.79674797,0.102967359,11.02189781,0.07706422,2.3099631,1.114391144,2.824817518,1.98540146,7.651376147,1.162337662,0.285608856,9.516129032,0.887096774,1.082568807,0.100917431,40.13168998,110,2,32.312717,82.558518
49.46,0.95,17.88,9.4,0.18,5.69,9.78,3.16,2.88,0.6,51.7,102,12.65,50.35,10.59,2.774,9.24,1.292,6.97,1.293,3.1,0.4181,2.58,0.37,1305,36.5,92.28,868,3.71,13.4,0.5465,9.15,2.37,9.48,169,15.9,184.1,43.19,21,6.05,1.416438356,0.367123288,54.59119497,5.19379845,35.75342466,14.37379387,39.53488372,4.630136986,4.881964117,2.701550388,4.104651163,15.95845137,0.070712644,19.51550388,0.099730458,2.794520548,1.379452055,3.546511628,3.581395349,4.714828897,0.618111918,0.250684932,2.716352201,1.320754717,0.23460076,0.114068441,38.777843,49,2,30.081717,91.273224
55.33,0.99,17.68,8.69,0.26,4.52,5.87,3.64,2.61,0.41,39,76.9,9.309,35.7,7.38,1.993,6.46,0.919,5.04,0.947,2.42,0.3431,2.17,0.31,526,27,104.4,424,3.4,7.6,0.5017,9.46,1.97,72.13,137,7.3,154.8,25.39,14,6.26,1.444444444,0.281481481,58.08219178,3.502304147,19.48148148,12.89155924,35.43778802,5.074074074,5.284552846,2.322580645,3.400921659,18.56368564,0.198479087,16.4516129,0.091176471,2.848148148,1.322222222,4.359447005,2.976958525,2.739018088,1.065924032,0.35037037,3.478082192,1.917808219,0.164018088,0.090439276,45.80129811,49,2,30.169218,91.258978
54.43,0.97,17.88,7.63,0.16,4.47,6.62,2.61,4.82,0.41,38.3,77.1,9.188,36.33,7.54,2.016,6.28,0.917,4.87,0.936,2.48,0.348,2.17,0.327,1008,27.3,151,770,3.51,7.8,0.5264,9.76,2.42,22.92,142,15.8,157.6,26.42,52,7.43,1.402930403,0.285714286,48.73417722,3.594470046,36.92307692,12.66017228,35.52995392,5.201465201,5.079575597,2.244239631,3.474654378,18.83289125,0.149801587,16.74193548,0.093162393,2.824175824,1.330769231,4.497695853,2.894009217,4.885786802,1.121735075,0.357509158,1.672151899,3.291139241,0.167639594,0.329949239,47.15408442,49,2,30.169218,91.258978
54.52,0.96,17.78,7.62,0.16,4.36,7.07,2.74,4.38,0.41,37.7,75,9.221,36.01,7.33,1.94,6.33,0.884,4.81,0.952,2.44,0.3504,2.24,0.325,940,26.8,157.2,672,3.56,7.8,0.5275,10.13,2.07,25.68,140,14.5,166.7,24.21,32,7.12,1.406716418,0.291044776,46.34482759,3.482142857,35.07462687,12.07240808,33.48214286,5.223880597,5.14324693,2.147321429,3.272321429,19.09959072,0.167234043,16.07589286,0.091292135,2.798507463,1.343656716,4.522321429,2.825892857,4.031193761,1.006829993,0.377985075,1.669655172,2.206896552,0.145230954,0.191961608,49.26742616,49,2,30.169218,91.258978
55.04,0.96,17.85,7.56,0.16,4.25,6.98,2.32,4.48,0.41,38.9,78.4,9.258,36.88,7.6,1.993,6.37,0.915,4.95,0.939,2.49,0.3554,2.26,0.326,963,27.2,132.5,693,3.54,8,0.5316,9.84,2.04,17.57,143,15.6,161.1,26.17,49,6.81,1.430147059,0.294117647,44.42307692,3.539823009,35.40441176,12.34643964,34.69026549,5.257352941,5.118421053,2.190265487,3.362831858,18.81578947,0.137590862,16.31858407,0.092090395,2.882352941,1.355882353,4.353982301,2.818584071,4.301675978,0.975055679,0.361764706,1.677564103,3.141025641,0.162445686,0.304158908,45.06197385,49,2,30.169218,91.258978
66.86,0.6,17.1,2.57,0.08,0.84,2.07,3.59,6.14,0.13,60.7,114.4,13.11,45.19,7.96,1.572,6.18,0.888,5,0.989,2.68,0.4044,2.69,0.401,482,29.6,338.2,768,8.81,19.1,1.499,41.38,7.02,40.66,404,4.3,26.74,2.685,4,9.74,2.050675676,0.64527027,178.6046512,7.100371747,16.28378378,16.18590498,42.52788104,13.64864865,7.625628141,1.858736059,2.959107807,50.75376884,0.701659751,16.79925651,0.045516459,3.864864865,1.526689189,15.38289963,2.29739777,28.7210172,4.693132002,1.397972973,0.624418605,0.930232558,0.100411369,0.149588631,52.76772785,48.8,1,30.09953,91.281135
67.58,0.59,16.96,2.22,0.06,0.61,1.86,3.68,6.3,0.12,80.9,122.3,16.63,56.48,9.67,1.832,7.43,1.046,5.7,1.142,3,0.4486,2.85,0.426,496,35.4,359.1,731,9.06,19.8,1.541,40.76,5.42,56.29,403,5.5,26.32,3.252,5,9.98,2.285310734,0.559322034,132.9090909,6.947368421,14.01129944,20.36124065,42.9122807,11.38418079,8.366080662,2,3.392982456,41.67528438,0.723991935,19.81754386,0.047019868,3.45480226,1.595480226,14.30175439,2.607017544,27.77355623,5.358428806,1.151412429,0.591272727,0.909090909,0.123556231,0.189969605,52.09758243,49,2,30.110781,91.274574
66.99,0.6,17.09,2.29,0.07,0.66,2.27,3.67,6.24,0.13,60.2,119.8,13.3,45.45,8.14,1.619,6.3,0.897,5.11,1.009,2.76,0.4224,2.72,0.412,475,29.9,351.8,858,9.06,19.6,1.516,40.16,5.19,45.66,408,5.6,27.76,3.168,8,9.9,2.013377926,0.655518395,153.2142857,7.205882353,15.88628763,15.87552743,44.04411765,13.64548495,7.395577396,1.878676471,2.992647059,50.12285012,0.740631579,16.70955882,0.045474614,4.006688963,1.52006689,14.76470588,2.316176471,30.90778098,4.357394367,1.343143813,0.565714286,1.428571429,0.114121037,0.288184438,51.7114659,49,2,30.127164,91.24918
70.06,0.51,15.86,1.78,0.05,0.37,1.45,3.22,6.6,0.09,66.9,134,14.56,48.78,8.66,1.179,6.54,0.953,5.37,1.063,2.93,0.4619,2.97,0.442,249,32,409.8,414,10.05,23.1,1.831,49.76,7.51,51.52,447,10.7,15.2,1.744,3,9.82,2.090625,0.721875,38.69158879,7.777777778,7.78125,16.15735413,45.11784512,13.96875,7.72517321,1.808080808,2.915824916,51.61662818,1.645783133,16.42424242,0.0439801,4.1875,1.524375,16.75420875,2.202020202,27.23684211,6.753824758,1.555,0.162990654,0.280373832,0.114736842,0.197368421,49.66169425,49.7,0.8,30.179991,91.28193
64.57,0.6,18.63,2.68,0.09,0.61,2.69,3.96,5.98,0.19,59.3,115.1,12.97,45.43,8.19,1.974,6.32,0.885,4.92,0.974,2.6,0.3874,2.5,0.382,587,28.9,340.3,818,8.93,16.5,1.214,33.04,4.98,50.58,420,6.3,30.76,2.315,3,9.94,2.051903114,0.570934256,129.8412698,6.6,20.31141869,17.01434599,46.04,14.53287197,7.240537241,1.968,3.276,51.28205128,0.579727428,18.172,0.042777156,3.982698962,1.571972318,13.216,2.528,26.59297789,3.693177536,1.143252595,0.367460317,0.476190476,0.075260078,0.097529259,55.17472819,50.1,0.4,30.209583,91.362887
66.27,0.6,17.56,2.47,0.05,0.68,2.55,3.53,6.14,0.14,59.5,116.3,12.78,43.87,7.77,1.739,6,0.859,4.77,0.945,2.56,0.394,2.55,0.383,547,28.1,326.9,937,8.44,18.6,1.422,37.13,5.34,50.67,371,5.8,30.09,2.836,4,9.67,2.117437722,0.661921708,161.5517241,7.294117647,19.46619217,16.73699015,45.60784314,13.20284698,7.657657658,1.870588235,3.047058824,47.74774775,0.5976234,17.20392157,0.045379147,4.138790036,1.561209964,14.56078431,2.352941176,31.13991359,3.787310455,1.321352313,0.488965517,0.689655172,0.094250582,0.13293453,50.11781768,49,2,30.233741,91.358692
71.11,0.34,14.34,3.34,0.04,0.97,2.46,3.7,3.57,0.13,16.45,27.37,2.68,9.3,1.51,0.45,1.21,0.16,0.89,0.18,0.52,0.08,0.63,0.11,313,5.6,196,218,3.92,9.14,0.66,17.34,3.91,21.75,150,3.89,37.73,13.88,12.35,7.27,2.9375,1.632142857,56.04113111,14.50793651,55.89285714,18.72948898,43.44444444,26.78571429,10.89403974,1.412698413,2.396825397,99.33774834,0.626198083,14.76190476,0.028061224,4.8875,1.660714286,27.52380952,1.920634921,5.777895574,2.955645161,3.096428571,3.568123393,3.174807198,0.367877021,0.327325735,66.25280859,93,2,33.28683,79.69583
59.32,1.08,15.24,5.43,0.09,3.48,4.82,3.27,6.48,0.79,81.1,168,20.2,83.4,16.1,3.44,10.5,1.22,5.53,0.89,2.32,0.31,1.77,0.27,1427,27,499,2592,11,36.4,2.04,98.3,22.1,93.6,443,14,128,71.2,95.8,9.76,3.003703704,1.348148148,185.1428571,20.56497175,52.85185185,32.86609931,94.91525424,16.40740741,5.037267081,3.124293785,9.096045198,27.51552795,0.349684653,47.11864407,0.024545455,6.222222222,3.088888889,55.53672316,5.93220339,20.25,2.025477707,3.640740741,5.085714286,6.842857143,0.55625,0.7484375,71.21484158,16,2,31.37218333,84.39098333
61.04,1.04,15.75,4.84,0.07,2.66,4.66,2.83,6.42,0.69,77.2,152,18.6,76.1,14.4,3.18,9.02,1.05,4.8,0.78,1.91,0.26,1.6,0.23,1435,23.6,440,2485,9.9,31.5,1.78,81.5,16.1,99.2,401,11.3,104,47.1,66,9.25,3.271186441,1.334745763,219.9115044,19.6875,60.80508475,34.60970464,95,16.99152542,5.361111111,3,9,27.84722222,0.306620209,47.5625,0.023232323,6.440677966,3.224576271,50.9375,5.6375,23.89423077,1.984547461,3.453389831,4.168141593,5.840707965,0.452884615,0.634615385,71.17010833,16,2,31.37218333,84.39098333
59.05,1.09,15.22,5.56,0.09,3.6,4.93,3.32,6.33,0.79,80.3,163,19.7,81.2,16,3.39,10.3,1.21,5.62,0.89,2.22,0.3,1.8,0.27,1356,26.7,501,2535,10.5,35.5,2.2,95.6,21.4,84.1,430,13.3,130,75.4,97.9,9.66,3.007490637,1.329588015,190.6015038,19.72222222,50.78651685,31.99953118,90.55555556,16.10486891,5.01875,3.122222222,8.888888889,26.875,0.369469027,45.11111111,0.025714286,6.104868914,3.041198502,53.11111111,5.722222222,19.5,1.956521739,3.580524345,5.669172932,7.360902256,0.58,0.753076923,70.74650189,16,2,31.37245,84.3907
59.16,1.07,14.99,5.43,0.1,3.76,5.27,3.17,6.26,0.78,78.1,161,19.2,78.9,15.4,3.31,9.94,1.17,5.36,0.89,2.15,0.27,1.75,0.25,1367,25.4,464,2551,10.4,34.4,1.91,92.9,20.5,99.2,418,13.4,128,73.9,98.5,9.44,3.07480315,1.354330709,190.3731343,19.65714286,53.81889764,32.01205546,92,16.45669291,5.071428571,3.062857143,8.8,27.14285714,0.339429407,45.08571429,0.024038462,6.338582677,3.106299213,53.08571429,5.68,19.9296875,1.789168279,3.657480315,5.514925373,7.350746269,0.57734375,0.76953125,71.30607201,16,2,31.37245,84.3907
60.27,1.2,14.96,4.94,0.1,3.05,4.82,3.09,6.65,0.92,68.3,146,17.5,72.8,14.1,3.16,9.56,1.1,5.01,0.8,2.02,0.26,1.46,0.23,1537,23.8,416,2745,10.2,41.3,2.27,82.3,17.1,81.7,393,12.4,126,65.3,85.6,9.74,2.869747899,1.735294118,221.3709677,28.28767123,64.57983193,33.55586382,100,16.51260504,4.843971631,3.431506849,9.657534247,27.87234043,0.270657124,49.8630137,0.02254902,6.134453782,3.058823529,56.36986301,6.547945205,21.78571429,2.021276596,3.457983193,5.266129032,6.903225806,0.518253968,0.679365079,71.36131461,16,2,31.37245,84.3907
60.98,1.06,15.96,4.94,0.05,2.51,4.19,3.3,6.3,0.71,76.6,154,19.1,77.3,14.6,3.26,9.28,1.06,4.7,0.79,1.92,0.26,1.49,0.2,1408,22.8,406,2511,10.1,32.5,1.79,82.6,18.6,108.1,414,11.3,104,48.4,67,9.61,3.359649123,1.425438596,222.2123894,21.81208054,61.75438596,36.87593804,103.3557047,18.15789474,5.246575342,3.154362416,9.798657718,28.35616438,0.288352273,51.87919463,0.01980198,6.754385965,3.390350877,55.43624161,6.228187919,24.14423077,2.290243902,3.622807018,4.283185841,5.92920354,0.465384615,0.644230769,70.77998374,16,2,31.37775,84.39211667
57.16,0.72,16.98,5.68,0.13,5.65,5.13,4.91,3.43,0.2,19.9,38.88,4.38,16.31,3.42,0.91,3.05,0.46,2.77,0.56,1.61,0.23,1.49,0.22,318.2,18.99,28.44,641,2.43,8.08,0.5,7.52,2.44,4.38,107.96,26.24,178.92,86.46,280.8,8.34,1.047919958,0.425487098,24.42835366,5.422818792,16.75618747,9.580041345,26.09395973,5.68509742,5.81871345,1.859060403,2.295302013,31.56725146,0.08937775,10.94630872,0.090534979,2.047393365,0.858873091,5.046979866,2.046979866,3.582606752,1.625490196,0.395997894,3.294969512,10.70121951,0.48323273,1.569416499,42.44780201,66.63,0.34,29.938675,92.839239
55.91,0.76,17.75,5.94,0.14,5.96,4.82,4.65,3.86,0.21,21.78,41.12,4.7,17.48,3.57,0.94,3.17,0.48,2.92,0.59,1.7,0.23,1.58,0.23,129.8,20.4,210,481,2.55,8.17,0.5,7.63,2.3,4.9,113.9,27.38,185.2,91.7,286.6,8.51,1.067647059,0.400490196,17.56756757,5.170886076,6.362745098,9.887838487,26.02531646,5.583333333,6.100840336,1.848101266,2.259493671,31.9047619,1.617873652,11.06329114,0.090196078,2.015686275,0.856862745,4.829113924,2.006329114,2.597192225,1.764091858,0.374019608,3.349159971,10.46749452,0.495140389,1.547516199,46.98650828,66,2,29.938675,92.839239
57.19,0.66,17.1,5.7,0.12,6.07,4.98,4.69,3.29,0.19,19.97,39.16,4.53,15.4,3.17,0.79,2.68,0.39,2.35,0.48,1.35,0.2,1.25,0.19,656.6,16.2,120.3,719,2.23,7.24,0.49,7.49,2.73,4.37,93.24,20.14,147.91,96.82,239.2,7.98,1.232716049,0.44691358,35.7000993,5.792,40.5308642,11.45957806,31.328,5.755555556,6.299684543,1.88,2.536,29.41324921,0.18321657,12.32,0.085201794,2.417283951,0.950617284,5.992,2.144,4.861064161,1.602020202,0.462345679,4.80734856,11.87686197,0.654587249,1.617199648,48.83099276,66,2,29.938675,92.839239
53.42,0.8,18.41,6.58,0.15,6.24,5.39,4.98,3.86,0.18,21.56,40.06,4.72,16.2,3.27,0.8,2.79,0.4,2.42,0.5,1.4,0.21,1.29,0.2,466.4,17.08,137.04,528,2.33,7.27,0.5,7.5,2.58,4.89,97.72,20.22,149.8,101.42,247,8.83,1.262295082,0.425644028,26.11275964,5.635658915,27.30679157,11.98835574,31.05426357,5.721311475,6.593272171,1.875968992,2.534883721,29.88379205,0.293825043,12.55813953,0.08583691,2.345433255,0.948477752,5.813953488,2.162790698,3.524699599,1.639252336,0.43911007,5.015825915,12.21562809,0.677036048,1.648865154,48.97914405,66,2,29.938675,92.839239
55.25,0.87,16.71,7.13,0.14,7.34,6.86,3.77,1.71,0.21,14.4,30.2,3.63,14.56,3.27,0.97,3.14,0.49,2.97,0.61,1.75,0.25,1.58,0.24,462.4,18.55,62.86,290,2.54,5.68,0.39,4.25,1.39,3.66,102.84,26.44,188,95.82,266.6,5.48,0.776280323,0.306199461,10.96822995,3.594936709,24.92722372,6.537413876,19.11392405,5.54393531,4.403669725,1.879746835,2.069620253,31.44954128,0.135942907,9.215189873,0.094488189,1.628032345,0.78490566,2.689873418,1.987341772,1.542553191,0.798825257,0.229110512,3.624054463,10.08320726,0.509680851,1.418085106,42.61127896,68.83,0.81,29.923794,92.879386
56.31,0.83,16.34,6.87,0.14,7.17,6.76,3.67,1.7,0.2,14.61,30.5,3.69,14.85,3.36,0.99,3.19,0.49,3.02,0.61,1.76,0.25,1.61,0.24,265.4,18.89,2.18,305,2.52,5.81,0.4,4.31,1.39,3.67,103.32,27.9,194.22,111.3,282.8,5.37,0.773425093,0.307570143,10.93189964,3.608695652,14.04976178,6.509159525,18.94409938,5.469560614,4.348214286,1.875776398,2.086956522,30.75,0.008214017,9.223602484,0.095238095,1.614610905,0.786130228,2.677018634,1.98136646,1.570384101,0.794336811,0.228163049,3.989247312,10.13620072,0.573061477,1.456080733,38.75460975,68,2,29.923794,92.879386
55.03,0.87,17.1,7.33,0.14,7.18,7.72,3.17,1.23,0.23,14.91,30.28,3.64,14.55,3.27,0.98,3.09,0.48,2.86,0.58,1.65,0.23,1.52,0.22,139.14,17.56,2.64,222,2.56,5.45,0.36,4.3,1.42,3.58,101.24,24.44,177.66,103.72,262.8,4.4,0.849088838,0.310364465,9.083469722,3.585526316,7.923690205,7.036142572,19.92105263,5.765375854,4.559633028,1.881578947,2.151315789,30.96024465,0.018973696,9.572368421,0.0859375,1.724373576,0.828587699,2.828947368,2.032894737,1.249577845,0.569190601,0.244874715,4.24386252,10.75286416,0.583811775,1.47922999,37.41188012,68,2,29.923794,92.879386
52.08,0.83,18.2,7.58,0.14,8.25,7.05,3.85,1.79,0.22,13.66,27.96,3.47,12.73,2.82,0.79,2.53,0.37,2.33,0.48,1.33,0.2,1.2,0.19,434,15.39,43.82,301,2.01,4.76,0.29,3.83,1.39,3.32,85.6,23.68,188.28,118.58,291,5.65,0.887589344,0.309291748,12.71114865,3.966666667,28.20012995,8.165260197,23.3,5.562053281,4.843971631,1.941666667,2.35,30.35460993,0.100967742,10.60833333,0.094527363,1.816764133,0.827160494,3.191666667,2.108333333,1.598682813,0.801144492,0.248862898,5.007601351,12.28885135,0.629806671,1.545570427,44.47980225,68,2,29.923794,92.879386
58.5,0.81,14.53,6.7,0.13,6.77,7.07,3.68,1.66,0.15,13.23,27.3,3.39,12.41,2.78,0.78,2.55,0.37,2.36,0.49,1.35,0.2,1.26,0.2,459.8,15.23,44.46,305,2.16,4.75,0.31,4.13,1.5,4.42,86,22.66,190.98,123.52,298,5.34,0.868680236,0.311884439,13.45984113,3.76984127,30.19041366,7.53164557,21.66666667,5.646749836,4.758992806,1.873015873,2.206349206,30.9352518,0.096694215,9.849206349,0.092592593,1.792514773,0.814839133,3.277777778,2.023809524,1.597025867,0.754985755,0.271175312,5.451015004,13.15092674,0.646769295,1.560372814,43.59435889,68,2,29.923794,92.879386
56.9,0.86,15.85,7.13,0.14,6.72,7.83,3.17,1.22,0.17,14.27,28.94,3.58,12.99,2.88,0.82,2.6,0.38,2.32,0.48,1.32,0.19,1.21,0.19,416.6,15.17,28.68,236,2.16,4.94,0.3,4.14,1.54,3.48,87.82,22.52,200.16,121.86,322.4,4.39,0.94067238,0.325642716,10.47957371,4.082644628,27.46209624,8.459392545,23.91735537,5.78905735,4.954861111,1.917355372,2.380165289,30.49305556,0.068843015,10.73553719,0.087962963,1.907712591,0.85629532,3.421487603,2.148760331,1.179056755,0.561132561,0.272907053,5.411190053,14.31616341,0.60881295,1.610711431,40.73690348,68,2,29.923794,92.879386
68.94,0.57,14.47,3.36,0.07,1.77,3.45,3.83,3.28,0.26,45,85.7,9.37,33.1,5.27,1.36,3.82,0.47,2.35,0.44,1.16,0.17,1.07,0.16,725,12.3,133,420,4.63,13.1,0.93,26.9,3.11,18,187,6.85,71.1,12.3,27.4,7.11,3.658536585,1.06504065,61.31386861,12.24299065,58.94308943,30.16680468,80.09345794,15.20325203,8.538899431,2.196261682,4.925233645,35.48387097,0.183448276,30.93457944,0.034557235,6.967479675,2.691056911,25.14018692,3.570093458,5.907172996,2.058309038,2.18699187,1.795620438,4,0.172995781,0.385372714,52.88458976,83.7,0.5,30.06667,92.15
67.19,0.63,15.15,3.61,0.07,1.9,3.29,3.68,4.2,0.28,67.5,113,11.7,40.9,6.24,1.54,4.53,0.55,2.78,0.52,1.4,0.19,1.27,0.18,758,14.5,154,887,4.41,15.1,1.1,25.2,3.83,20.4,176,7.7,78.5,13.5,30.3,7.88,4.655172414,1.04137931,115.1948052,11.88976378,52.27586207,38.12419017,88.97637795,12.13793103,10.81730769,2.188976378,4.913385827,28.20512821,0.203166227,32.20472441,0.040816327,7.793103448,2.820689655,19.84251969,3.566929134,11.29936306,2.398148148,1.737931034,1.753246753,3.935064935,0.171974522,0.385987261,57.7744939,83.7,0.5,30.06667,92.15
67.51,0.63,15.45,3.77,0.07,1.96,2.89,4.02,3.4,0.3,64.1,103,10.2,34.6,5.24,1.26,3.71,0.47,2.28,0.43,1.15,0.16,1.05,0.17,742,12,121,487,4.58,13,0.9,32.4,3.67,16.3,184,6.97,68.9,12.5,28.8,7.42,5.341666667,1.083333333,69.87087518,12.38095238,61.83333333,43.78943138,98.0952381,15.33333333,12.23282443,2.171428571,4.99047619,35.11450382,0.163072776,32.95238095,0.037117904,8.583333333,2.883333333,30.85714286,3.533333333,7.068214804,2.564912281,2.7,1.793400287,4.131994261,0.181422351,0.417997097,55.07364354,83.7,0.5,30.06667,92.15
68,0.52,15.63,3.04,0.06,1.56,3.67,4.16,3.12,0.23,66.8,102,10.2,34.4,5.24,1.3,3.63,0.45,2.33,0.42,1.12,0.15,1.03,0.15,746,11.8,115,360,4.22,12.6,0.94,21,3.02,17.7,167,5.8,59.7,10.2,22.7,7.28,5.661016949,1.06779661,62.06896552,12.23300971,63.22033898,46.52001147,99.02912621,14.15254237,12.7480916,2.262135922,5.087378641,31.87022901,0.154155496,33.39805825,0.035545024,8.644067797,2.915254237,20.38834951,3.524271845,6.030150754,1.983561644,1.779661017,1.75862069,3.913793103,0.170854271,0.380234506,54.01840013,83.7,0.5,30.06667,92.15
