SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
60.66,0.63,15.56,6.77,0.14,5.21,7.2,1.92,1.8,0.11,23.8,46,5.36,21,3.95,1.05,4.22,0.695,4.01,0.732,2.41,0.369,2.51,0.384,195,23.6,70.5,280,1.53,7.64,0.642,7.49,1.47,13.5,27.8,26.6,173,22.1,139,3.72,1.008474576,0.323728814,10.52631579,3.043824701,8.262711864,6.801486039,18.32669323,1.177966102,6.025316456,1.597609562,1.573705179,7.037974684,0.361538462,8.366533865,0.250980392,1.949152542,0.889830508,2.984063745,1.6812749,1.61849711,0.517142857,0.317372881,0.830827068,5.22556391,0.127745665,0.803468208,30.56398125,154.5,1.7,32.38948333,80.64198333
62.8,0.59,15.28,5.91,0.12,4.42,5.68,2.05,3.04,0.1,26.4,51.8,5.99,22.8,4.52,1.02,4.12,0.71,4.3,0.826,2.54,0.429,2.48,0.375,268,22.8,129,540,2.42,8.81,0.752,11,1.05,13.6,64.2,22,146,23.4,121,5.09,1.157894737,0.386403509,24.54545455,3.552419355,11.75438596,7.635769702,20.88709677,2.815789474,5.840707965,1.733870968,1.822580645,14.20353982,0.481343284,9.193548387,0.154958678,2.271929825,1,4.435483871,1.661290323,3.698630137,0.896551724,0.48245614,1.063636364,5.5,0.160273973,0.828767123,42.86423566,150,2.3,32.37611667,80.7098
75.18,0.25,13.84,1.63,0.07,0.46,0.45,3.47,4.59,0.05,37.6,82.4,7.57,25.5,4.24,0.986,3.96,0.761,4.55,1.02,3.01,0.494,3.7,0.591,136,28.9,185,714,3.96,11.9,1.3,25.9,3.3,13.5,93.5,4.5,27.7,0.812,7.75,8.07,1.301038062,0.411764706,158.6666667,3.216216216,4.705882353,7.289314631,22.27027027,3.235294118,8.867924528,1.22972973,1.145945946,22.05188679,1.360294118,6.891891892,0.149242424,2.851211073,0.882352941,7,1.07027027,25.77617329,18.11363636,0.896193772,0.180444444,1.722222222,0.029314079,0.279783394,39.53073303,155,2,32.35936667,80.75103333
63.24,0.55,16.41,5.61,0.12,3.02,6,2.26,2.69,0.1,23.5,47.8,5.23,19.8,3.88,1.02,3.75,0.699,4.12,0.771,2.31,0.378,2.36,0.32,237,21.6,111,377,1.2,8.68,0.86,13.5,1.09,10.5,22.9,19.4,144,5.86,26.1,4.95,1.087962963,0.401851852,19.43298969,3.677966102,10.97222222,7.142601731,20.25423729,1.060185185,6.056701031,1.745762712,1.644067797,5.902061856,0.46835443,8.389830508,0.266666667,2.212962963,0.916666667,5.720338983,1.588983051,2.618055556,0.824829932,0.625,0.302061856,1.345360825,0.040694444,0.18125,39.34931004,155,1.6,32.55426667,80.95051667
63.14,0.56,16.27,6,0.13,3.11,6.22,2.27,2.17,0.11,19.8,41.3,4.86,19.3,4.12,0.976,3.9,0.715,4.16,0.826,2.43,0.387,2.56,0.376,246,22.9,99.1,266,1.38,9,0.912,10.4,0.941,9.22,25.6,19.6,149,7.2,27.8,4.45,0.864628821,0.3930131,13.57142857,3.515625,10.74235808,5.547863924,16.1328125,1.11790393,4.805825243,1.625,1.609375,6.213592233,0.402845528,7.5390625,0.272463768,1.80349345,0.84279476,4.0625,1.5234375,1.785234899,0.714754098,0.454148472,0.367346939,1.418367347,0.048322148,0.186577181,28.4073099,155,2,32.55533333,80.95403333
68.97,0.5,15.22,3.23,0.06,1.66,3.43,3.65,3.12,0.15,30,51.2,5.45,19.6,3.26,0.938,2.79,0.475,2.53,0.476,1.53,0.212,1.48,0.217,308,13.6,95.9,347,2.34,14.5,1.33,14.3,2.96,9.33,63.8,6.93,61.7,13.7,22.5,6.77,2.205882353,1.066176471,50.07215007,9.797297297,22.64705882,14.53985631,34.59459459,4.691176471,9.202453988,1.709459459,2.202702703,19.57055215,0.311363636,13.24324324,0.092735043,3.764705882,1.441176471,9.662162162,1.885135135,5.623987034,1.976470588,1.051470588,1.976911977,3.246753247,0.222042139,0.364667747,47.75400286,155,2,32.52333333,80.92345
64.49,0.52,16.05,5.36,0.11,2.87,5.61,2.44,2.43,0.11,19.5,40.6,4.99,19.4,4.27,1.05,3.62,0.739,4.24,0.818,2.33,0.378,2.5,0.32,240,22,102,341,1.87,9.25,0.994,9.65,0.75,12.7,42.7,18.1,138,6.11,29.4,4.87,0.886363636,0.420454545,18.83977901,3.7,10.90909091,5.594936709,16.24,1.940909091,4.566744731,1.696,1.708,10,0.425,7.76,0.171122995,1.845454545,0.881818182,3.86,1.448,2.471014493,0.868372943,0.438636364,0.337569061,1.624309392,0.044275362,0.213043478,35.64012108,155.3,1.7,32.4215,81.45128333
64.7,0.56,16.25,5.56,0.11,3.01,5.37,2.17,2.17,0.1,21,40.6,4.79,18.6,4,0.982,3.7,0.724,3.83,0.791,2.3,0.373,2.31,0.375,243,22.1,120,282,0.929,9.28,0.957,9.73,1.75,8.66,16.1,18.7,150,6.5,29.5,4.34,0.950226244,0.419909502,15.0802139,4.017316017,10.99547511,6.520905255,17.57575758,0.728506787,5.25,1.658008658,1.731601732,4.025,0.49382716,8.051948052,0.403659849,1.837104072,0.841628959,4.212121212,1.601731602,1.88,0.808429119,0.440271493,0.347593583,1.577540107,0.043333333,0.196666667,27.57515637,155,2,32.4215,81.45128333
58.47,0.56,14.13,7.31,0.24,7.24,6.59,2.55,2.74,0.17,13.8,42.8,6.66,30.2,7.35,1.66,6.47,1.26,7.04,1.38,4.01,0.628,4.33,0.672,209,38.5,104,245,2.79,8.34,1.53,7.94,0.736,11.3,55.7,26.2,165,91.1,237,5.29,0.358441558,0.216623377,9.351145038,1.926096998,5.428571429,2.286081796,9.884526559,1.446753247,1.87755102,1.625866051,1.697459584,7.578231293,0.497607656,6.974595843,0.240860215,1.111688312,0.784415584,1.833718245,1.494226328,1.484848485,0.802816901,0.206233766,3.477099237,9.045801527,0.552121212,1.436363636,33.64786018,155,2,32.4215,81.45128333
64.27,0.56,15.59,5.72,0.11,3.01,5.71,2.28,2.64,0.12,18.6,39.4,4.67,18.9,3.94,0.915,3.63,0.71,4.09,0.79,2.3,0.396,2.36,0.391,225,22.4,105,328,0.988,8.81,1.08,10.8,1.17,8.61,18.8,18.6,141,6.78,24.8,4.91,0.830357143,0.393303571,17.6344086,3.733050847,10.04464286,5.653293285,16.69491525,0.839285714,4.720812183,1.733050847,1.669491525,4.771573604,0.466666667,8.008474576,0.395748988,1.758928571,0.84375,4.576271186,1.538135593,2.326241135,0.860962567,0.482142857,0.364516129,1.333333333,0.048085106,0.175886525,36.32107399,155,2,32.421,80.50218333
