SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon,CITATION
68.3550833,0.526125754,15.90756693,2.831794501,0.041264765,1.609325837,3.012327849,4.126476505,3.373394543,0.216640017,30.36,59.93,7.22,27.75,4.74,1.19,3.11,0.36,1.97,0.4,1.1,0.15,0.85,0.14,876.6,10.59,100.9,1034,4.58,6.4,0.51,8.4,1.99,25.57,176.3,5.94,73.05,13.83,26.59,7.499871048,2.866855524,0.60434372,174.0740741,7.529411765,82.77620397,24.26388682,70.50588235,16.64778093,6.405063291,2.317647059,5.576470588,37.19409283,0.11510381,32.64705882,0.030567686,5.65911237,2.620396601,9.882352941,3.658823529,14.15468857,2.489726027,0.793201133,2.328282828,4.476430976,0.189322382,0.363997262,65.03787689,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
68.58574496,0.603333674,16.41272114,3.221188261,0.061355967,1.840679006,1.513447183,4.182431741,3.3336742,0.245423867,29.8,63.6,7.68,30.38,4.96,1.25,3.42,0.38,2.13,0.41,1.17,0.16,0.88,0.14,1040,10.55,106.2,1042,4.73,6.12,0.48,7.73,2.35,29.42,184.7,6.96,82.33,16.45,23.82,7.516105941,2.82464455,0.580094787,149.7126437,6.954545455,98.57819905,23.0044112,72.27272727,17.507109,6.008064516,2.420454545,5.636363636,37.23790323,0.102115385,34.52272727,0.029598309,6.028436019,2.879620853,8.784090909,3.886363636,12.65638285,4.966216216,0.732701422,2.363505747,3.422413793,0.19980566,0.289323454,68.63134456,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
68.57484811,0.537563519,16.19790452,2.619861451,0.030428124,1.409836398,2.728388425,4.209223779,3.468806102,0.223139574,30.32,62.4,7.73,30.41,4.7,1.22,3.3,0.37,2.16,0.4,1.15,0.17,0.94,0.13,964.5,10.8,96.37,1002,4.51,6.52,0.58,6.82,1.94,43.99,174.8,4.78,65.97,11.94,18.63,7.67802988,2.807407407,0.603703704,209.623431,6.936170213,89.30555556,21.91184128,66.38297872,16.18518519,6.45106383,2.29787234,5,37.19148936,0.099917055,32.35106383,0.028824834,5.777777778,2.815740741,7.255319149,3.510638298,15.18872215,2.814126394,0.631481481,2.49790795,3.89748954,0.18099136,0.282401091,67.7594579,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
69.04233902,0.470092894,15.87074489,2.639673796,0.040877643,1.543131023,2.493536223,4.077544889,3.617671405,0.204388215,22.28,49.42,6.21,23.9,4.22,1.14,2.96,0.34,1.96,0.36,1,0.15,0.82,0.14,809.7,9.24,118.3,1060,4.43,6.05,0.54,7.52,2.15,26.8,163.7,5.4,64.25,13.9,28.68,7.695216294,2.411255411,0.654761905,196.2962963,7.37804878,87.62987013,18.45775445,60.26829268,17.71645022,5.279620853,2.390243902,5.146341463,38.79146919,0.146103495,29.14634146,0.031602709,5.348484848,2.586580087,9.170731707,3.609756098,16.49805447,3.086065574,0.813852814,2.574074074,5.311111111,0.216342412,0.446381323,69.83062677,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
67.58626302,0.620524089,16.19466146,3.350830078,0.061035156,1.983642578,2.563476563,4.140218099,3.234863281,0.264485677,30.62,59.36,7.74,31.79,5.04,1.32,3.46,0.4,2.25,0.42,1.25,0.16,0.93,0.15,949.5,11.29,91.21,1072,4.82,6.87,0.53,7.83,2.17,25.56,182.1,7,88.54,18.15,27.64,7.37508138,2.712134632,0.6085031,153.1428571,7.387096774,84.10097431,22.36658954,63.82795699,16.12931798,6.075396825,2.419354839,5.419354839,36.13095238,0.096061085,34.1827957,0.031120332,5.257750221,2.815766165,8.419354839,3.720430108,12.10752202,2.876984127,0.693534101,2.592857143,3.948571429,0.204992094,0.312175288,64.40928732,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
67.0601738,0.614854894,16.26291195,3.283325135,0.051237908,1.947040498,3.207493032,4.078537465,3.238235776,0.256189539,28.63,63.09,7.46,30.49,4.96,1.4,3.2,0.37,2.02,0.37,1.11,0.15,0.87,0.14,1003,10.92,97.9,1062,4.34,6.44,0.48,7.34,2.15,29.21,170.9,7.51,91.86,17.74,27.36,7.316773242,2.621794872,0.58974359,141.4114514,7.402298851,91.84981685,22.35525486,72.51724138,15.65018315,5.772177419,2.32183908,5.701149425,34.45564516,0.097607178,35.04597701,0.032258065,5.777472527,2.792124542,8.436781609,3.67816092,11.5610712,2.28115016,0.672161172,2.362183755,3.643142477,0.193119965,0.297844546,67.35412823,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
67.12419109,0.638885454,16.15761922,3.579819463,0.061827625,2.040311611,2.947116772,3.967272577,3.225341082,0.257615102,31.25,64.76,8.09,33.15,5.39,1.33,3.7,0.43,2.64,0.52,1.44,0.2,1.19,0.18,857.4,13.14,94.12,949.4,4.94,7.15,0.54,8.48,2.02,24.05,188.6,7.91,95.14,19.37,25.29,7.19261366,2.378234399,0.54414003,120.0252845,6.008403361,65.25114155,17.83941425,54.42016807,14.35312024,5.797773655,2.218487395,4.529411765,34.99072356,0.109773735,27.85714286,0.036437247,4.928462709,2.52283105,7.12605042,3.109243697,9.978978348,2.440559441,0.645357686,2.448798989,3.19721871,0.203594703,0.265818793,61.27420401,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
67.53428751,0.607952848,16.4765526,3.27367152,0.051521428,1.895988542,2.359681391,4.461755644,3.091285666,0.247302853,29.35,56.4,7.09,28.86,4.69,1.3,3.22,0.37,2.1,0.39,1.15,0.15,0.89,0.14,894,10.51,90.03,973.1,4.73,6.67,0.52,6.93,2.29,25.39,180.8,6.36,83.48,17.73,23.66,7.55304131,2.792578497,0.634633682,153.0031447,7.494382022,85.06184586,22.40245579,63.37078652,17.20266413,6.257995736,2.359550562,5.269662921,38.55010661,0.100704698,32.42696629,0.029598309,5.366317793,2.745956232,7.786516854,3.617977528,11.65668424,3.200873362,0.659372027,2.787735849,3.720125786,0.2123862,0.283421179,63.99017039,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
68.07464021,0.579315391,16.00739898,3.091714774,0.05081714,1.829417026,2.744125539,4.024717457,3.364094642,0.233758842,30.37,60.82,7.51,30.36,4.81,1.3,3.35,0.39,2.28,0.42,1.24,0.16,0.91,0.17,916.2,10.86,98.39,1026,5.03,6.6,0.53,7.96,2.21,30.01,181.3,7.13,82.71,19.03,32.44,7.388812099,2.796500921,0.607734807,143.8990182,7.252747253,84.36464088,22.67153522,66.83516484,16.69429098,6.313929314,2.505494505,5.285714286,37.69230769,0.107389216,33.36263736,0.033797217,5.600368324,2.79558011,8.747252747,3.681318681,12.40478781,2.692592593,0.732965009,2.669004208,4.549789621,0.230081006,0.392213759,64.94739046,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
67.12434811,0.611147327,16.16484681,3.336864407,0.050928944,1.945485658,3.177966102,4.125244459,3.198337679,0.264830508,30.13,61.04,7.76,31.06,5.19,1.34,3.39,0.39,2.44,0.43,1.17,0.16,0.99,0.15,1046,11.43,87.99,1088,4.8,6.91,0.5,7.29,2.1,26.29,182.3,6.81,88.87,16.56,24.68,7.323582138,2.636045494,0.604549431,159.7650514,6.97979798,91.5135608,20.67480714,61.65656566,15.94925634,5.80539499,2.464646465,5.242424242,35.12524085,0.084120459,31.37373737,0.03125,5.340332458,2.717410324,7.363636364,3.424242424,12.24260155,2.304487179,0.637795276,2.431718062,3.624082232,0.186339597,0.277709013,65.34625929,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
