SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V
61.99,0.48,17.96,6.01,0.2,2.43,4.17,5.53,1.07,0.16,15.17,29.9,3.59,14.14,2.94,0.93,2.69,0.44,2.75,0.59,1.7,0.27,1.8,0.29,793.7,14.56,39.5,356.2,2.6,6.06,0.46,3.54,1.17,9.1,97.17,9.25,107.9,7.78,24.4,6.6,1.041895604,0.416208791,38.50810811,3.366666667,54.51236264,6.045241444,16.61111111,6.673763736,5.159863946,1.527777778,1.633333333,33.05102041,0.049766914,7.855555556,0.111538462,2.053571429,0.971153846,1.966666667,1.494444444,3.301204819,1.582716049,0.243131868,0.841081081,2.637837838,0.0721038,0.22613531
67.42,0.67,15.44,5.28,0.07,1.7,2.94,4.23,2.07,0.18,20.71,42.63,5.54,22.6,4.71,1.09,4.33,0.67,3.86,0.79,2.24,0.34,2.4,0.39,435.2,18.59,74.9,370,5.79,13.8,1.09,9.62,1.84,7.8,201.9,11.93,86.7,22.19,28.7,6.3,1.114039806,0.742334588,31.01424979,5.75,23.41043572,6.189697609,17.7625,10.86067778,4.397027601,1.608333333,1.9625,42.86624204,0.172104779,9.416666667,0.067357513,2.29316837,1.21570737,4.008333333,1.804166667,4.267589389,2.14532872,0.517482517,1.860016764,2.405699916,0.255940023,0.331026528
65.8,0.45,16.28,4.27,0.14,1.94,5.43,0.62,4.88,0.18,24.62,44.5,5.336,21.06,3.99,1.29,3.59,0.53,2.91,0.59,1.73,0.25,1.641,0.27,280.5,14.71,134.7,543.2,2.86,8.35,0.6,6.38,1.74,22.2,86.49,5.978,80.3,5.192,9.9,5.51,1.673691366,0.567641061,90.86651054,5.088360756,19.06866077,10.76167923,27.11761121,5.879673691,6.170426065,1.773308958,2.431444241,21.67669173,0.480213904,12.83363803,0.094405594,3.025152957,1.43167913,3.887873248,2.187690433,6.764632628,1.013133208,0.433718559,0.868517899,1.656072265,0.064657534,0.123287671
68.21,0.4,16.32,5.25,0.17,1.53,4.57,1.86,1.56,0.13,24.59,46.6,5.32,19.63,3.23,0.9,2.39,0.33,1.93,0.39,1.11,0.18,1.2,0.22,247.6,10.43,54.1,648.6,3.14,9.67,0.74,5.19,1.04,12.8,113.7,5.2,62,5.12,7.9,3.42,2.357622244,0.927133269,124.7307692,8.058333333,23.73921381,14.69866385,38.83333333,10.9012464,7.613003096,1.608333333,2.691666667,35.20123839,0.218497577,16.35833333,0.070063694,4.467881112,1.882070949,4.325,1.991666667,10.46129032,0.74717833,0.497603068,0.984615385,1.519230769,0.082580645,0.127419355
66.38,0.41,16.19,5.73,0.2,1.43,5.29,2.37,1.88,0.13,21,39.8,4.56,17.71,3.5,1.11,3.15,0.5,2.9,0.61,1.71,0.27,1.8,0.29,367.4,15.88,103.4,384.9,3.3,11.56,0.81,5.22,1.76,53.3,118.5,6.17,61.2,5.24,9.4,4.24,1.322418136,0.727959698,62.38249595,6.422222222,23.13602015,8.368495077,22.11111111,7.462216625,6,1.611111111,1.944444444,33.85714286,0.281437126,9.838888889,0.087878788,2.506297229,1.115239295,2.9,1.75,6.289215686,0.802734375,0.328715365,0.849270665,1.52350081,0.085620915,0.153594771
65.76,0.41,16.93,5.33,0.15,1.64,4.66,2.56,2.4,0.13,19.77,39.9,4.46,17.35,3.62,1.03,3.63,0.59,3.43,0.69,1.89,0.29,1.9,0.3,353.3,18.06,132,453.4,3.33,12.2,0.91,5.55,1.63,5.9,118.3,6.71,63.2,4.01,22.7,4.96,1.094684385,0.675526024,67.57078987,6.421052632,19.56256921,7.463690873,21,6.550387597,5.461325967,1.805263158,1.905263158,32.67955801,0.373620153,9.131578947,0.09009009,2.209302326,0.9606866,2.921052632,1.910526316,7.174050633,1.064159292,0.30730897,0.597615499,3.383010432,0.063449367,0.359177215
65.78,0.47,16.54,4.19,0.14,1.44,4.6,4.8,1.91,0.13,20.83,41.6,4.69,18.76,3.6,1.05,3.32,0.5,2.91,0.61,1.71,0.26,1.8,0.28,561.2,15.86,74.1,490.3,3.31,11.1,0.76,5.13,1.7,17.2,111.2,7.31,65.9,4.64,8.3,6.71,1.313366961,0.699873897,67.07250342,6.166666667,35.38461538,8.300750117,23.11111111,7.011349306,5.786111111,1.616666667,2,30.88888889,0.132038489,10.42222222,0.084592145,2.62295082,1.182849937,2.85,1.844444444,7.440060698,1.459161148,0.323455233,0.634746922,1.135430917,0.070409712,0.125948407
65.86,0.47,16.73,4.18,0.12,1.55,4.42,4.96,1.56,0.14,21.53,42.2,4.85,19.41,3.69,1.06,3.43,0.51,2.99,0.62,1.74,0.27,1.8,0.29,519.8,15.85,60.1,418.1,3.18,11.87,0.82,5.45,1.73,16.6,103.9,7.26,61.9,3.95,14.9,6.52,1.358359621,0.748895899,57.58953168,6.594444444,32.79495268,8.579699953,23.44444444,6.555205047,5.834688347,1.661111111,2.05,28.15718157,0.115621393,10.78333333,0.091194969,2.662460568,1.224605678,3.027777778,1.905555556,6.754442649,1.474654378,0.34384858,0.544077135,2.052341598,0.063812601,0.240710824
65.56,0.45,16.21,4.43,0.15,1.5,3.76,6.53,1.21,0.19,19.71,38.4,4.34,17.42,3.34,0.99,3.08,0.47,2.73,0.57,1.62,0.25,1.7,0.27,488.5,14.8,50.8,363.8,3.05,10.58,0.72,4.91,1.64,8.4,100.4,7.08,65.6,3.98,18.6,7.74,1.331756757,0.714864865,51.38418079,6.223529412,33.00675676,8.316455696,22.58823529,6.783783784,5.901197605,1.605882353,1.964705882,30.05988024,0.103991812,10.24705882,0.08852459,2.594594595,1.177027027,2.888235294,1.811764706,5.545731707,2.057065217,0.331756757,0.562146893,2.627118644,0.060670732,0.283536585
63.32,0.43,17.22,5.03,0.16,2.43,5.4,3.96,1.91,0.12,13.56,25.6,3.07,12.43,2.46,0.78,2.38,0.37,2.22,0.47,1.34,0.2,1.4,0.21,489.9,11.94,40.4,937.2,1.33,5.79,0.45,3.07,1.1,8.8,43,12.95,104.4,12.17,33.8,5.87,1.135678392,0.484924623,72.37065637,4.135714286,41.03015075,6.94755877,18.28571429,3.601340034,5.512195122,1.585714286,1.757142857,17.4796748,0.082465809,8.878571429,0.157894737,2.144053601,1.041038526,2.192857143,1.7,8.977011494,1.086956522,0.257118928,0.93976834,2.61003861,0.116570881,0.323754789
57.42,0.66,18.16,7.22,0.21,4.03,6.31,4.3,1.54,0.16,14.36,28.9,3.52,14.87,3.09,0.94,3.01,0.47,2.79,0.6,1.67,0.25,1.7,0.27,507.2,14.6,34.2,537.7,2.46,5.36,0.4,3.01,1.11,10.3,84.54,22.36,172,17.85,84.1,5.84,0.983561644,0.367123288,24.04740608,3.152941176,34.73972603,6.05907173,17,5.790410959,4.647249191,1.641176471,1.817647059,27.3592233,0.067429022,8.747058824,0.109756098,1.979452055,1.018493151,1.770588235,1.770588235,3.126162791,0.925081433,0.206164384,0.798300537,3.76118068,0.10377907,0.488953488
55.86,0.74,17.96,8.15,0.23,4.12,9.41,2.89,0.48,0.16,13.33,27.8,3.65,16.05,3.55,1.04,3.59,0.58,3.54,0.75,2.09,0.31,2.1,0.32,523.5,18.58,8.8,102.3,2.88,6.01,0.41,2.94,1.01,7.2,101.9,23.54,186.3,25.23,57.9,3.37,0.717438105,0.323466093,4.345794393,2.861904762,28.17545748,4.553144465,13.23809524,5.484391819,3.754929577,1.685714286,1.69047619,28.70422535,0.016809933,7.642857143,0.111111111,1.496232508,0.863832078,1.4,1.70952381,0.549114332,0.358078603,0.158234661,1.071792693,2.459643161,0.135426731,0.31078905
56.26,0.73,17.71,7.99,0.22,3.91,10,2.54,0.48,0.15,13.29,27.7,3.64,15.9,3.58,1.04,3.5,0.58,3.47,0.71,1.95,0.28,1.8,0.26,551.3,17.9,8.9,81.16,1.45,5.78,0.4,2.67,0.89,6.8,62.92,23.64,179,25.14,58.2,3.03,0.742458101,0.322905028,3.433164129,3.211111111,30.79888268,5.296061885,15.38888889,3.515083799,3.712290503,1.927777778,1.988888889,17.57541899,0.01614366,8.833333333,0.179310345,1.547486034,0.888268156,1.483333333,1.944444444,0.453407821,0.302564103,0.149162011,1.063451777,2.461928934,0.140446927,0.325139665
63.43,0.44,17.14,5.07,0.15,2.72,5.21,3.78,1.93,0.13,11.09,21.6,2.61,10.2,2.11,0.67,2.07,0.33,2.02,0.45,1.27,0.2,1.4,0.23,406.9,12.28,37.2,1109.4,2.01,5.21,0.4,2.78,1.06,10.4,63.18,9.7,94,13.18,43.5,5.71,0.903094463,0.424267101,114.371134,3.721428571,33.13517915,5.682037372,15.42857143,5.14495114,5.255924171,1.442857143,1.507142857,29.94312796,0.091422954,7.285714286,0.114427861,1.758957655,0.830618893,1.985714286,1.478571429,11.80212766,1.096837945,0.226384365,1.358762887,4.484536082,0.140212766,0.462765957
62.77,0.83,16.24,5.96,0.18,3.33,5.53,3.31,1.66,0.2,15.83,33.9,4.32,17.47,3.94,1.12,4.03,0.67,4.24,0.93,2.7,0.41,2.8,0.46,403.2,24.72,2.8,85.76,4.15,8.02,0.52,3.68,1.17,5.6,165.8,16.75,102.9,7.4,12.7,4.97,0.640372168,0.324433657,5.12,2.864285714,16.31067961,4.0553044,12.10714286,6.707119741,4.017766497,1.514285714,1.407142857,42.08121827,0.006944444,6.239285714,0.110843373,1.371359223,0.70671521,1.314285714,1.439285714,0.833430515,0.898876404,0.148867314,0.441791045,0.758208955,0.07191448,0.123420797
60.92,0.88,17.38,6.17,0.17,3.28,5.71,4.68,0.59,0.21,17.26,38.3,4.86,19.99,4.55,1.18,4.72,0.82,5.18,1.11,3.22,0.49,3.3,0.53,322.7,29.9,8.7,206.5,4.94,9.2,0.61,4.3,1.27,3.9,192,19.25,135.3,5.79,32.7,5.27,0.577257525,0.307692308,10.72727273,2.787878788,10.79264214,3.751694157,11.60606061,6.421404682,3.793406593,1.56969697,1.378787879,42.1978022,0.026960025,6.057575758,0.107287449,1.280936455,0.668561873,1.303030303,1.43030303,1.52623799,0.923497268,0.143812709,0.300779221,1.698701299,0.042793792,0.241685144
