SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V
59.25,1.34,12.67,6.14,0.08,7.32,3.81,1.88,7.4,0.11,31.2,75.84,12.4,59.2,15,4.4,8.09,0.92,3.89,0.63,1.57,0.21,1.39,0.21,851,18.5,488,3284,14.4,30.6,1.7,180,26.2,85.1,563,17,120,209,386,9.28,1.686486486,1.654054054,193.1764706,22.01438849,46,16.10053729,54.56115108,30.43243243,2.08,2.798561151,10.79136691,37.53333333,0.573443008,42.58992806,0.014583333,4.099459459,3.2,129.4964029,5.820143885,27.36666667,2.435013263,9.72972973,12.29411765,22.70588235,1.741666667,3.216666667
56.98,1.51,13.58,6.36,0.09,7.14,4.91,2.39,6.45,0.58,75.8,180,29,128,24.7,4.61,11.9,1.23,4.75,0.77,1.98,0.25,1.65,0.24,1031,24.7,515,2503,13.2,28.7,1.6,165,21.8,50,571,15.4,136,171,328,8.84,3.068825911,1.16194332,162.5324675,17.39393939,41.74089069,32.95230789,109.0909091,23.11740891,3.068825911,2.878787879,14.96969697,23.11740891,0.499515034,77.57575758,0.018181818,7.287449393,5.182186235,100,7.212121212,18.40441176,1.798336798,6.680161943,11.1038961,21.2987013,1.257352941,2.411764706
60.2,1.39,12.18,5.08,0.07,7.13,3.41,1.82,8.28,0.44,69.9,169,27.1,118,23.2,4.52,11,1.03,4.01,0.6,1.56,0.21,1.39,0.2,942,19.9,698,2797,17.2,30.5,1.7,186,26.6,53.8,709,12.4,82.4,194,256,10.1,3.512562814,1.532663317,225.5645161,21.94244604,47.33668342,36.07139605,121.5827338,35.6281407,3.012931034,2.884892086,16.69064748,30.56034483,0.740976645,84.89208633,0.011627907,8.492462312,5.929648241,133.8129496,7.913669065,33.94417476,2.961309524,9.346733668,15.64516129,20.64516129,2.354368932,3.106796117
58.02,1.48,13.7,5.99,0.08,6.87,4.43,2.41,6.64,0.37,63.7,142,21.2,87.83,16.5,3.46,7.86,0.83,3.45,0.57,1.44,0.19,1.26,0.18,969,17.5,498,2297,14.2,32.9,1.9,152,21.7,50.2,579,15.6,146.4,152,318,9.05,3.64,1.88,147.2435897,26.11111111,55.37142857,36.26347867,112.6984127,33.08571429,3.860606061,2.738095238,13.0952381,35.09090909,0.513931889,69.70634921,0.012676056,8.114285714,5.018857143,120.6349206,6.238095238,15.68989071,2.043678161,8.685714286,9.743589744,20.38461538,1.038251366,2.172131148
67.55,1.02,15.35,2.76,0,2.05,3.07,4.09,4.09,0,42,83,10,38,6,2,5,0,3,1,1,0,1,0,1025,12,149,1287,4,9,1,17,3,32,127,7,85,11,24,8.19,3.5,0.75,183.8571429,9,85.41666667,30.12658228,83,10.58333333,7,3,6,21.16666667,0.145365854,38,0,6.916666667,3.166666667,17,5,15.14117647,2.666666667,1.416666667,1.571428571,3.428571429,0.129411765,0.282352941
66.67,1.01,15.56,3.64,0,2.02,3.03,4.04,4.04,0,51,94,10,38,6,2,5,0,3,1,1,0,1,0,988,12,143,1234,4,9,1,18,2,31,136,8,87,12,26,8.08,4.25,0.75,154.25,9,82.33333333,36.58227848,94,11.33333333,8.5,3,6,22.66666667,0.144736842,38,0,7.833333333,3.166666667,18,5,14.18390805,2.666666667,1.5,1.5,3.25,0.137931034,0.298850575
66.94,1.01,15.21,3.65,0,2.03,3.04,4.06,4.06,0,42,81,9,35,6,1,4,0,3,0,1,0,1,0,994,11,134,1129,4,8,1,16,2.35,29.9,127,7,83,12,23,8.11,3.818181818,0.727272727,161.2857143,8,90.36363636,30.12658228,81,11.54545455,7,3,6,21.16666667,0.134808853,35,0,7.363636364,3.181818182,16,4,13.60240964,2.666666667,1.454545455,1.714285714,3.285714286,0.144578313,0.277108434
67.21,0.65,15.55,3.29,0.06,1.78,3.27,3.95,3.98,0.27,46.7,88.7,9.93,37.2,6.05,1.48,4.38,0.374,2.74,0.491,1.34,0.179,1.004,0.172,950,11.6,149,1205,3.89,8.65,0.573,17.6,2.46,31.8,139,7.43,75.6,74.2,377.8,7.93,4.025862069,0.745689655,162.1803499,8.615537849,81.89655172,33.36443257,88.34661355,11.98275862,7.719008264,2.729083665,6.025896414,22.97520661,0.156842105,37.05179283,0.044215938,7.646551724,3.206896552,17.52988048,4.362549801,15.93915344,2.42721519,1.517241379,9.98654105,50.84791386,0.981481481,4.997354497
67.17,0.66,15.62,3.35,0.06,1.75,3.33,3.88,3.91,0.27,49.7,95.5,10.7,39.8,6.55,1.6,4.63,0.414,2.91,0.53,1.5,0.188,1.096,0.173,995,12.9,155,1225,4.15,9.28,0.592,17.9,2.57,31.9,149,8.03,91.6,12.9,28.7,7.79,3.852713178,0.719379845,152.5529265,8.467153285,77.13178295,32.52717977,87.1350365,11.5503876,7.58778626,2.655109489,5.976277372,22.7480916,0.155778894,36.31386861,0.041686747,7.403100775,3.085271318,16.33211679,4.224452555,13.37336245,2.336419753,1.387596899,1.606475716,3.574097136,0.140829694,0.313318777
66.85,0.55,15.56,2.99,0.07,1.82,2.9,3.32,5.75,0.2,54.1,92.8,10.2,34.4,5.22,0.96,4.51,0.47,2.85,0.58,1.7,0.23,1.53,0.26,364,13,284,714,6.39,14.6,1.86,37.8,4.41,28.3,199,6.57,60.3,14.6,26.4,9.06,4.161538462,1.123076923,108.6757991,9.54248366,28,25.36333802,60.65359477,15.30769231,10.36398467,1.862745098,3.411764706,38.12260536,0.78021978,22.48366013,0.040688576,7.138461538,2.646153846,24.70588235,2.947712418,11.84079602,3.12195122,2.907692308,2.222222222,4.01826484,0.24212272,0.437810945
