SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Cr,Co,Ni,A,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Crustal_Thickness
60.25188917,0.826196474,16.72544081,7.123425693,0.141057935,3.083123426,6.115869018,4.171284635,1.380352645,0.181360202,9.4,21.7,2.98,13.9,3.79,1.13,4.31,0.69,4.74,0.99,2.91,0.43,2.87,0.45,265,31,33,459,3.38,5,0.24,2.63,1.51,11,119,24,133,31,12,30,5.55163728,8.548387097,2.213255609,7.56097561,3.838709677,2.480211082,1.651567944,1.320557491,31.39841689,0.124528302,4.843205575,0.133136095,0.7,0.448387097,0.916376307,1.50174216,3.45112782,0.907742998,0.08483871,1.25,1.291666667,0.22556391,0.233082707,24.75390772
52.91533546,0.818690096,18.02116613,8.726038339,0.169728435,4.582667732,9.834265176,3.634185304,1.118210863,0.17971246,7.95,18.5,2.6,11.45,2.92,0.95,3.14,0.52,3.15,0.67,1.87,0.279689918,1.81,0.287,488,19.1,21.9,368,2.21,2.32,0.144,1.96,0.9,6.54,82,32.7,271,38,24.5,14.2,4.752396166,25.54973822,2.968070212,10.22099448,4.293193717,2.72260274,1.740331492,1.613259669,28.08219178,0.044877049,6.325966851,0.129864253,0.968586387,0.59947644,1.082872928,1.73480663,1.357933579,0.483248731,0.102617801,0.434250765,1.162079511,0.052398524,0.140221402,15.51978578
53.67793241,0.775347913,18.13121272,8.399602386,0.178926441,4.343936382,9.612326044,3.558648111,1.143141153,0.178926441,8.2,18.85,2.66,11.72,2.97,0.98,3.19,0.52,3.15,0.67,1.88,0.282751265,1.84,0.286,511,19.2,23.8,393,2.3,2.45,0.147,2.1,0.98,14.36,86.3,29.9,270,32.9,24.2,13.8,4.701789264,26.61458333,3.011491529,10.24456522,4.494791667,2.760942761,1.711956522,1.614130435,29.05723906,0.046575342,6.369565217,0.124347826,0.981770833,0.610416667,1.141304348,1.733695652,1.455555556,0.489141675,0.109375,0.461538462,1.100334448,0.051111111,0.121851852,15.51978578
56.14946548,0.67938855,18.523329,7.103606754,0.159856129,3.416924768,8.582275952,3.956439205,1.268858028,0.159856129,9.08,20.18,2.73,11.58,2.86,0.94,3.04,0.5,3.03,0.65,1.84,0.281243248,1.86,0.296,489,18.9,29,468,2.64,2.72,0.171,2.5,1.18,9.46,104.5,21.4,211,15.4,19,9.6,5.225297232,25.87301587,3.298819255,10.84946237,5.529100529,3.174825175,1.629032258,1.537634409,36.53846154,0.059304703,6.225806452,0.112121212,1.067724868,0.612698413,1.344086022,1.634408602,2.218009479,0.608847497,0.132275132,0.448598131,0.719626168,0.04549763,0.072985782,15.51978578
57.85123967,0.607388231,18.55023399,6.243154436,0.159314946,2.877626207,7.915961366,4.172060141,1.433834512,0.189186498,10.72,23.89,3.2,13.29,3.01,0.97,2.96,0.48,2.85,0.61,1.74,0.268298263,1.79,0.286,565,18.1,32.9,527,2.86,3.06,0.186,2.74,1.27,6.93,115.4,18.5,197,9.3,15.7,7.3,5.605894653,31.21546961,4.046945641,13.34636872,6.375690608,3.561461794,1.592178771,1.681564246,38.33887043,0.058230088,7.424581006,0.1,1.319889503,0.734254144,1.530726257,1.653631285,2.675126904,0.708176101,0.151381215,0.394594595,0.502702703,0.037055838,0.047208122,15.51978578
59.22368948,0.580232093,18.19727891,5.892356943,0.160064026,2.661064426,7.342937175,4.351740696,1.420568227,0.170068027,11.71,25.15,3.27,13.14,2.91,0.97,2.91,0.47,2.82,0.6,1.75,0.272057868,1.83,0.291,512,18.1,38.7,630,3,4.18,0.252,3.75,1.71,11.04,123.5,13.9,157,10.9,13.6,6.6,5.772308924,28.28729282,4.324057116,13.7431694,6.82320442,4.024054983,1.540983607,1.590163934,42.43986254,0.075585938,7.180327869,0.097,1.389502762,0.725966851,2.049180328,1.590163934,4.012738854,0.786103542,0.20718232,0.474820144,0.784172662,0.042038217,0.069426752,15.51978578
58.94736842,0.581453634,18.24561404,6.015037594,0.160401003,2.686716792,7.498746867,4.290726817,1.403508772,0.170426065,12.2,25.76,3.33,13.39,2.92,0.97,2.93,0.48,2.83,0.6,1.74,0.27053723,1.82,0.297,518,18.3,39.2,638,2.9,4.11,0.26,3.71,1.63,11.89,116.7,13.4,147,9.5,12.9,5.9,5.694235589,28.30601093,4.529748181,14.15384615,6.37704918,4.178082192,1.554945055,1.604395604,39.96575342,0.075675676,7.357142857,0.102413793,1.407650273,0.731693989,2.038461538,1.60989011,4.340136054,0.759358289,0.20273224,0.440298507,0.708955224,0.040136054,0.06462585,15.51978578
52.51436782,1.642036125,18.3908046,9.585385878,0.174466338,3.427750411,9.195402299,3.663793103,1.087848933,0.318144499,13,31.2,4.46,19.9,5.02,1.6,5.24,0.85,4.95,1.05,2.98,0.432821977,2.72,0.41,500,30.4,19.38,369,3.37,5.64,0.38,2.29,0.96,5.1,141.4,29.9,270,13,24,8,4.751642036,16.44736842,3.229684244,11.47058824,4.651315789,2.589641434,1.819852941,1.845588235,28.16733068,0.03876,7.316176471,0.121661721,1.026315789,0.654605263,0.841911765,1.926470588,1.366666667,0.516741071,0.075328947,0.267558528,0.434782609,0.02962963,0.048148148,28.30771469
50.87118542,1.470440125,17.6452815,11.09880149,0.22157317,4.723537114,9.598146843,3.313526035,0.815792124,0.241716185,10.29,25.9,3.95,18.17,4.88,1.62,5.53,0.92,5.66,1.18,3.31,0.493998988,3.19,0.5,366,28.9,20.23,305,3.67,4.97,0.35,1.93,0.83,4.75,120.4,39,348,15,35,75,4.129318159,12.66435986,2.179768179,8.119122257,4.166089965,2.108606557,1.774294671,1.529780564,24.67213115,0.055273224,5.695924765,0.136239782,0.896193772,0.628719723,0.605015674,1.73354232,0.876436782,0.430220357,0.066782007,1.923076923,0.384615385,0.215517241,0.043103448,30.3732046
54.03184907,1.065016736,18.29800183,10.28501876,0.192717314,3.854346283,7.556547317,3.823917233,0.649153058,0.243432397,7.7,19.6,2.59,12.1,3.06,1.14,3.51,0.58,3.77,0.84,2.29,0.31,2.13,0.34,447.5,20.1,11.6,202,2.5,3.1,0.2,1,0.3,1.8,70,22,204,14,22.9,4.4,4.473070291,22.26368159,2.44284965,9.201877934,3.482587065,2.516339869,1.769953052,1.436619718,22.87581699,0.025921788,5.680751174,0.136,0.975124378,0.60199005,0.469483568,1.647887324,0.990196078,0.591946309,0.049751244,0.2,0.636363636,0.021568627,0.068627451,36.49423021
